Error_cv_ols,Error_cv_ols_c,Error_cv_ols_c_r,Error_cv_ols_c_s,Error_te_ols
1.888304063182067e+98,1.888304063182067e+98,1.888304063182067e+98,1.888304063182067e+98,4.775970893174609e+36
8.081881568248025e+100,8.081881568248025e+100,8.081881568248025e+100,8.081881568248025e+100,9.310284607301751e+34
5.446852057031623e+36,5.446852057031623e+36,5.446852057031623e+36,5.446852057031623e+36,0.8907458442059445
4.043674765073005e+96,4.043674765073005e+96,4.043674765073005e+96,4.043674765073005e+96,9.849834954611177e+32
3.857358229552739e+98,3.857358229552739e+98,3.857358229552739e+98,3.857358229552739e+98,1098970.9570591706
1.942042234438266e+100,1.942042234438266e+100,1.942042234438266e+100,1.942042234438266e+100,5.305345263035218e+38
2.3471677386579524e+102,2.3471677386579524e+102,2.3471677386579524e+102,2.3471677386579524e+102,4.656693410451325e+98
1.9958123074791725e+95,1.9958123074791725e+95,1.9958123074791725e+95,1.9958123074791725e+95,1.3446681111860703e+35
5.18173804828443e+99,5.18173804828443e+99,5.18173804828443e+99,5.18173804828443e+99,2.2923141064949367e+29
1.9361847607691637e+64,1.9361847607691637e+64,1.9361847607691637e+64,1.9361847607691637e+64,5.395877947472288e+30
7.032180598824866e+93,7.032180598824866e+93,7.032180598824866e+93,7.032180598824866e+93,1.4463432149533793e+99
2.24590279012212e+37,2.24590279012212e+37,2.24590279012212e+37,2.24590279012212e+37,114145664.36255689
1.4372576065611035e+98,1.4372576065611035e+98,1.4372576065611035e+98,1.4372576065611035e+98,136345.93740461158
2.7890364704855776e+98,2.7890364704855776e+98,2.7890364704855776e+98,2.7890364704855776e+98,2884137.0907705114
2.4693211192618664e+100,2.4693211192618664e+100,2.4693211192618664e+100,2.4693211192618664e+100,2.754099994677143e+35
3.477786951055713e+100,3.477786951055713e+100,3.477786951055713e+100,3.477786951055713e+100,0.7844965834570461
1.72206965921585e+99,1.72206965921585e+99,1.72206965921585e+99,1.72206965921585e+99,7.842342002853986e+36
1.2962514856731377e+100,1.2962514856731377e+100,1.2962514856731377e+100,1.2962514856731377e+100,3.6893704207328275e+95
4.909479387993809e+97,4.909479387993809e+97,4.909479387993809e+97,4.909479387993809e+97,0.7648635193007667
7.915541293395236e+94,7.915541293395236e+94,7.915541293395236e+94,7.915541293395236e+94,5.532542718891305e+100
1.3346211316818623e+96,1.3346211316818623e+96,1.3346211316818623e+96,1.3346211316818623e+96,5.367272693033484e+37
4.696452684329449e+91,4.696452684329449e+91,4.696452684329449e+91,4.696452684329449e+91,3.0734307189130204e+35
1.1389851123630965e+96,1.1389851123630965e+96,1.1389851123630965e+96,1.1389851123630965e+96,58324743.66937379
