Error_cv_wls,Error_cv_wls_c,Error_cv_wls_c_r,Error_cv_wls_c_s,Error_te_wls
3.862225781168441e+101,3.862225781168441e+101,3.862225781168441e+101,3.862225781168441e+101,202671980716.5653
5.867867992654702e+33,5.867867992654702e+33,5.867869730820769e+33,5.867867992654701e+33,1.4620638476235667e+38
1.1003710394174022e+99,1.1003710394174022e+99,1.1003710394174022e+99,1.1003710394174022e+99,160613.84952144354
3.25392757453822e+99,3.25392757453822e+99,3.25392757453822e+99,3.25392757453822e+99,4381119.162833524
1.1428199715440281e+37,1.1428199715440281e+37,1.1428199715440281e+37,1.1428199715440281e+37,183937.08189299318
1.436027226813023e+97,1.436027226813023e+97,1.436027226813023e+97,1.436027226813023e+97,5.327750184469014e+35
5.5407056467954896e+94,5.5407056467954896e+94,5.5407056467954896e+94,5.5407056467954896e+94,0.8470492531187541
1.1546207665148982e+97,1.1546207665148982e+97,1.1546207665148982e+97,1.1546207665148982e+97,1.3181520387294664e+35
4.011262776420707e+96,4.011262776420707e+96,4.011262776420707e+96,4.011262776420707e+96,1.3139470765553856
2.532303881713996e+93,2.532303881713996e+93,2.532303881713996e+93,2.532303881713996e+93,359814.46972389217
1.3164989190749253e+32,1.3164989190749253e+32,1.316498919074925e+32,1.3164989190749253e+32,4160093.140371156
1.709767153909831e+99,1.709767153909831e+99,1.709767153909831e+99,1.709767153909831e+99,0.8209276206009569
2.6326424668034055e+98,2.6326424668034055e+98,2.6326424668034055e+98,2.6326424668034055e+98,10297989267.745047
1.3197250268908734e+97,1.3197250268908734e+97,1.3197250268908734e+97,1.3197250268908734e+97,1.0924863677006174
6.768054317572204e+96,6.768054317572204e+96,6.768054317572204e+96,6.768054317572204e+96,1.146444453426547e+37
1.1791574945109684e+100,1.1791574945109684e+100,1.1791574945109684e+100,1.1791574945109684e+100,2.8874536108811213e+92
2.206575465438858e+36,2.206575465438858e+36,2.2065754641518957e+36,2.206575465438858e+36,1.800865781175133e+35
5.5402653944896736e+97,5.5402653944896736e+97,5.5402653944896736e+97,5.5402653944896736e+97,24716950.660750337
1.2023954308265475e+99,1.2023954308265475e+99,1.2023954308265475e+99,1.2023954308265475e+99,2.452219660148627e+36
2.1870712189474653e+100,2.1870712189474653e+100,2.1870712189474653e+100,2.1870712189474653e+100,5.598965468583656e+38
4.696713216997986e+99,4.696713216997986e+99,4.696713216997986e+99,4.696713216997986e+99,3.915539176764178e+40
6.979262200060425e+35,6.979262200060425e+35,6.97930331107389e+35,6.979262200060425e+35,5.0065978242576574e+33
5.710415592072913e+97,5.710415592072913e+97,5.710415592072913e+97,5.710415592072913e+97,1.2351006367669153e+99
8.635983843261231e+33,8.635983843261231e+33,8.635983843261232e+33,8.635983843261231e+33,32423556.007418547
2.4075299770490682e+92,2.4075299770490682e+92,2.4075299770490682e+92,2.4075299770490682e+92,1.5368246093273107e+91
4.283324250387863e+96,4.283324250387863e+96,4.283324250387863e+96,4.283324250387863e+96,2.1235791861908444e+34
3.1374556155061294e+98,3.1374556155061294e+98,3.1374556155061294e+98,3.1374556155061294e+98,1.2462801022729437e+34
3.3296576011399183e+96,3.3296576011399183e+96,3.3296576011399183e+96,3.3296576011399183e+96,433914.6037408006
